primary_query_id,available_count,alloc_at_k4,alloc_at_k5,alloc_at_k6,alloc_at_k7,alloc_at_k8,alloc_at_k9,alloc_at_k10
Q01,19,4,5,6,7,8,9,10
Q02,10,4,5,6,7,8,9,10
Q03,16,4,5,6,7,8,9,10
Q04,14,4,5,6,7,8,9,10
Q05,19,4,5,6,7,8,9,10
Q06,20,4,5,6,7,8,9,10
Q07,8,4,5,6,7,8,8,8
Q08,20,4,5,6,7,8,9,10
Q09,20,4,5,6,7,8,9,10
Q10,19,4,5,6,7,8,9,10
Q11,16,4,5,6,7,8,9,10
Q12,14,4,5,6,7,8,9,10
Q13,13,4,5,6,7,8,9,10
Q14,13,4,5,6,7,8,9,10
Q16,10,4,5,6,7,8,9,10
Q17,12,4,5,6,7,8,9,10
Q18,8,4,5,6,7,8,8,8
Q19,6,4,5,6,6,6,6,6
Q20,12,4,5,6,7,8,9,10
Q21,19,4,5,6,7,8,9,10
Q22,19,4,5,6,7,8,9,10
TOTAL,307,84,105,126,146,166,184,202
